,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Biltine,TD,14.5333,20.9167,79.79,10,7,20.47,clear sky
328,Kargat,RU,55.1956,80.2811,-5.64,100,93,1.72,overcast clouds
329,Bloemhof,ZA,-27.6469,25.607,66.43,36,0,3.94,clear sky
330,Mokolo,CM,10.7398,13.8019,81.81,10,8,7.07,clear sky
331,Vanimo,PG,-2.6741,141.3028,76.96,89,100,6.76,moderate rain
332,Harbour Breton,CA,47.4833,-55.7983,36.21,98,100,14.32,overcast clouds
333,Saint-Georges,GD,12.0564,-61.7485,83.88,65,20,33.38,few clouds
334,Upernavik,GL,72.7868,-56.1549,12.15,91,100,4.9,overcast clouds
335,Puerto Rico,AR,-26.796,-55.024,80.17,44,0,4.88,clear sky
336,Rio Tuba,PH,8.5061,117.4317,79.95,82,94,1.77,overcast clouds
337,Torbay,CA,47.6666,-52.7314,39.76,96,100,5.75,light intensity drizzle
338,Ostrovnoy,RU,68.0531,39.5131,22.05,57,100,15.35,overcast clouds
339,Poum,NC,-20.2333,164.0167,79.84,74,65,14.74,broken clouds
340,Chirongui,YT,-12.9319,45.1483,82.33,77,64,2.8,light rain
341,Mecca,SA,21.4267,39.8261,69.69,45,0,9.28,clear sky
342,Mount Isa,AU,-20.7333,139.5,64.17,82,4,0.0,light rain
343,Sibolga,ID,1.7427,98.7792,75.7,84,3,3.85,clear sky
344,Manokwari,ID,-0.8667,134.0833,77.9,81,99,3.69,overcast clouds
